brand,product,name,specific,lightness,hex,lightToDark,numbers,id
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,expresso,67,0.362745098,#725647,TRUE,67,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,67P,0.3529411765,#7B5739,TRUE,67,67
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,tan,68,0.4764705882,#A8714B,TRUE,68,55
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,brulee,WN 68,0.5725490196,#CB8F59,NA,68,NA
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,brownie,68,0.4196078431,#7B5E5B,TRUE,68,66
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,NA,68N,0.3568627451,#7A5A3C,TRUE,68,67
SEPHORA COLLECTION,Matte Perfection Powder Foundation,deep mocha,68,0.4862745098,#967262,TRUE,68,62
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,tan,70,0.462745098,#A46748,TRUE,70,55
Urban Decay Cosmetics,Hydromaniac Glowy Tinted Hydrator Foundation,NA,70,0.4352941176,#A4643A,TRUE,70,74
Bite Beauty,Changemaker Supercharged Micellar Foundation,NA,M70,0.7352941176,#E3B094,TRUE,70,75
Catrice,HD Liquid Coverage Foundation,toffee beige,70,0.4450980392,#A36D40,TRUE,70,59
Clinique,Beyond Perfecting Foundation + Concealer,vanilla,CN 70,0.6745098039,#D6A682,NA,70,NA
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,vanilla,CN 70,0.6843137255,#D9A784,NA,70,NA
Clinique,Stay Matte Oil-Free Makeup,vanilla,CN 70,0.6745098039,#D6A682,NA,70,NA
Clinique,Superbalanced Makeup,vanilla,70,0.9764705882,#F9F9F9,NA,70,NA
ColourPop,Pretty Fresh Foundation,light,70W,0.731372549,#D8B99D,TRUE,70,63
Dior,Diorskin Forever Undercover Foundation,dark brown,70,0.4137254902,#98583B,TRUE,70,69
Essence,Pretty Natural Hydrating Foundation,warm cashew,70,0.6058823529,#CA986B,TRUE,70,79
florence by mills,Like a Light Skin Tint,NA,LM070,0.6470588235,#D19A79,TRUE,70,80
Natasha Denona,Foundation X+,medium,70WN,0.6921568627,#DEAB83,TRUE,70,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,70WN,0.6529411765,#C89F85,TRUE,70,65
SEPHORA COLLECTION,Matte Perfection Powder Foundation,mocha java,70,0.4705882353,#8E6F62,TRUE,70,62
ZOEVA,Authentik Skin Natural Luminous Foundation,bright,070N,0.7392156863,#E8BA91,TRUE,70,82
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,tan,72,0.4215686275,#946243,TRUE,72,55
Clinique,Superbalanced Makeup,sunny,72,0.9764705882,#F9F9F9,NA,72,NA
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,tan,74,0.3901960784,#8A603D,TRUE,74,55
Clinique,Beyond Perfecting Foundation + Concealer,beige,CN 74,0.6333333333,#D09B73,NA,74,NA
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,beige,CN 74,0.5784313725,#C48A63,NA,74,NA
Clinique,Stay Matte Oil-Free Makeup,beige,CN 74,0.6333333333,#D09B73,NA,74,NA
Bite Beauty,Changemaker Supercharged Micellar Foundation,NA,M75,0.7431372549,#E8B193,TRUE,75,75
Josie Maran,Vibrancy Argan Oil Foundation Fluid,reverent,RG75,0.5411764706,#A97F6B,TRUE,75,70
Natasha Denona,Face Glow Foundation,NA,75 MDY,0.4882352941,#A07E59,TRUE,75,81
Natasha Denona,Foundation X+,dark,75Y,0.6764705882,#DAA67F,TRUE,75,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,75Y,0.6568627451,#E3A66C,TRUE,75,65
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,tan,76,0.3647058824,#7F573B,TRUE,76,55
Clinique,Beyond Perfecting Foundation + Concealer,toasted wheat,WN 76,0.568627451,#C38B5F,NA,76,NA
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,toasted wheat,WN 76,0.6294117647,#D39D6E,NA,76,NA
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,tan,78,0.3490196078,#77533B,TRUE,78,55
Clinique,Beyond Perfecting Foundation + Concealer,nutty,CN 78,0.6058823529,#CE9467,NA,78,NA
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,deep,80,0.3294117647,#734B35,TRUE,80,55
Urban Decay Cosmetics,Hydromaniac Glowy Tinted Hydrator Foundation,NA,80,0.3294117647,#804D28,TRUE,80,74
Bite Beauty,Changemaker Supercharged Micellar Foundation,NA,M80,0.7098039216,#DCA88E,TRUE,80,75
Catrice,HD Liquid Coverage Foundation,caramel beige,80,0.437254902,#996846,TRUE,80,59
Catrice,True Skin Hydrating Foundation,neutral pecan,80,0.3862745098,#935332,TRUE,80,60
ColourPop,Pretty Fresh Foundation,medium,80W,0.7039215686,#D7B490,TRUE,80,63
Dior,Diorskin Forever Undercover Foundation,ebony,80,0.3607843137,#814D37,TRUE,80,69
Essence,Pretty Natural Hydrating Foundation,cool chai,80,0.6,#C8956A,TRUE,80,79
florence by mills,Like a Light Skin Tint,NA,M080,0.6450980392,#CA9B7F,TRUE,80,80
Josie Maran,Vibrancy Argan Oil Foundation Fluid,magical,RG80,0.4960784314,#9E715F,TRUE,80,70
Natasha Denona,Face Glow Foundation,NA,80 DR,0.5450980392,#9F8977,TRUE,80,81
ZOEVA,Authentik Skin Natural Luminous Foundation,brilliant,080W,0.7490196078,#E7BA97,TRUE,80,82
Urban Decay Cosmetics,Hydromaniac Glowy Tinted Hydrator Foundation,NA,81,0.3058823529,#6C4530,TRUE,81,74
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,deep,82,0.3254901961,#6D4A39,TRUE,82,55
Natasha Denona,Foundation X+,warm,82W,0.6588235294,#D0A580,TRUE,82,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,82W,0.6705882353,#CDAB89,TRUE,82,65
ColourPop,Pretty Fresh Foundation,medium,83C,0.7450980392,#D9B6A3,TRUE,83,63
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,deep,84,0.2980392157,#644634,TRUE,84,55
Marc Jacobs Beauty,Re(marc)able Full Cover Foundation Concentrate,cocoa medium,84,0.3784313725,#95532C,TRUE,84,85
Bite Beauty,Changemaker Supercharged Micellar Foundation,NA,M85,0.7117647059,#D9A692,TRUE,85,75
Catrice,HD Liquid Coverage Foundation,chestnut beige,85,0.331372549,#784B31,TRUE,85,59
ColourPop,Pretty Fresh Foundation,medium,85N,0.7176470588,#D4AF9A,TRUE,85,63
Josie Maran,Vibrancy Argan Oil Foundation Fluid,unstoppable,RG85,0.4549019608,#8F6459,TRUE,85,70
Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,ivoire,85,0.937254902,#F6EFE8,TRUE,85,86
Natasha Denona,Foundation X+,dark,85W,0.631372549,#CA9B78,TRUE,85,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,85WN,0.637254902,#D2A173,TRUE,85,65
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,deep,86,0.3215686275,#6E4A36,TRUE,86,55
Marc Jacobs Beauty,Re(marc)able Full Cover Foundation Concentrate,cocoa deep,86,0.3450980392,#7E4832,TRUE,86,85
Natasha Denona,Foundation X+,yellow,86Y,0.4901960784,#B37947,TRUE,86,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,86Y,0.5980392157,#CE9663,TRUE,86,65
Natasha Denona,Foundation X+,warm,87W,0.5509803922,#B38866,TRUE,87,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,87W,0.6137254902,#C99B70,TRUE,87,65
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,deep,88,0.2901960784,#624432,TRUE,88,55
Natasha Denona,Foundation X+,dark,88Y,0.6705882353,#D0A786,TRUE,88,64
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,NA,89WY,0.6274509804,#D19C6F,TRUE,89,65
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,deep,90,0.2705882353,#5E3C2C,TRUE,90,55
Urban Decay Cosmetics,Hydromaniac Glowy Tinted Hydrator Foundation,NA,90,0.2588235294,#5C3628,TRUE,90,74
Bite Beauty,Changemaker Supercharged Micellar Foundation,NA,M90,0.6450980392,#CC9D7D,TRUE,90,75
